station,lat,lon
CAK,40.9161,-81.4422
CAO,36.4486,-103.154
CAR,46.87,-68.02
CAV,42.743,-93.7593
CBE,39.6154,-78.7609
CBF,41.2611,-95.7604
CBG,45.5575,-93.2642
CBK,39.4274,-101.047
CBM,33.6438,-88.4438
CCA,35.5978,-92.4516
CCO,33.31,-84.77
CCR,37.9916,-122.053
CCU,39.475,-106.153
CCY,43.073,-92.6132
CDA,44.5691,-72.018
CDC,37.7,-113.1
CDD,48.266,-92.483
CDH,33.6228,-92.7634
CDI,39.975,-81.5776
CDJ,39.8233,-93.5792
CDN,34.2836,-80.5649
CDR,42.8376,-103.095
CDS,34.4339,-100.288
CDW,40.8764,-74.2831
CEC,41.7837,-124.238
CEF,42.194,-72.5348
CEU,34.6719,-82.8868
CEW,30.78,-86.52
CEY,36.6646,-88.3728
CEZ,37.303,-108.628
CFD,30.7157,-96.3314
CFE,45.159,-93.8433
CFJ,39.9756,-86.9199
CFS,43.4588,-83.4454
CFV,37.0941,-95.5719
CGC,28.8673,-82.5713
CGE,38.5393,-76.0304
CGF,41.5651,-81.4864
CGI,37.2253,-89.5708
CGS,38.9806,-76.9223
CGZ,32.9549,-111.767
CHA,35.0353,-85.2038
CHD,33.27,-111.81
CHK,35.0974,-97.9677
CHO,38.1386,-78.4529
CHS,32.8986,-80.0405
CIC,39.7954,-121.858
CID,41.8829,-91.7246
CIN,42.0444,-94.7889
CIR,37.0647,-89.2196
CIU,46.25,-84.47
CJR,38.5267,-77.8589
CKB,39.2966,-80.2281
CKC,47.8383,-90.3829
CKF,31.9888,-83.7739
CKI,33.7172,-79.857
CKM,34.2997,-90.5123
CKN,47.8417,-96.6214
CKP,42.7304,-95.5538
CKV,36.6219,-87.415
CKZ,40.3892,-75.2905
CLE,41.405,-81.8528
CLI,44.6139,-88.7314
CLK,35.5383,-98.9327
CLL,30.5881,-96.3639
CLM,48.12,-123.5
CLS,46.677,-122.983
CLT,35.2225,-80.9543
CLW,27.9742,-82.7563
CMA,34.2137,-119.094
CMD,34.2687,-86.858
CMH,39.9914,-82.8808
CMI,40.0388,-88.2778
CMR,35.3054,-112.195
CMX,47.1684,-88.4891
CMY,43.9584,-90.7379
CNB,44.7295,-96.266
CNC,41.0184,-93.3608
CNI,34.3106,-84.4239
CNK,39.55,-97.65
CNM,32.3375,-104.263
CNO,33.9753,-117.636
CNU,37.6703,-95.4842
CNW,31.6378,-97.0741
CNY,38.755,-109.755
COD,44.5202,-109.024
COE,47.7743,-116.82
COF,28.235,-80.61
COM,31.8411,-99.4036
CON,43.1953,-71.5011
COQ,46.7011,-92.5036
COS,38.8058,-104.701
COT,28.4567,-99.2183
COU,38.8169,-92.2183
CPC,34.2753,-78.7146
CPK,36.6656,-76.3207
CPR,42.908,-106.464
CPS,38.5707,-90.1562
CPT,32.3537,-97.4338
CPW,37.45,-106.8
CQB,35.7238,-96.8203
CQC,35.0028,-105.663
CQF,30.4605,-87.877
CQM,47.8219,-92.6894
CQT,34.0235,-118.291
CQW,34.7129,-79.957
CQX,41.6875,-69.9933
CRE,33.8118,-78.7239
CRG,30.3361,-81.5147
CRP,27.7731,-97.5128
CRQ,33.13,-117.28
CRS,32.03,-96.4
CRW,38.3794,-81.59
CRX,34.915,-88.6035
CSG,32.5161,-84.9422
CSM,35.3398,-99.2005
CSQ,41.0188,-94.3608
CSV,35.9513,-85.085
CTB,48.6084,-112.376
CTJ,33.6317,-85.1523
CTY,29.6355,-83.1047
CTZ,34.9756,-78.3644
CUB,33.972,-80.9938
CUH,35.9499,-96.7731
CUL,38.0895,-88.1231
CUT,43.7331,-103.611
CVB,29.3419,-98.8509
CVC,33.6323,-83.8474
CVG,39.0431,-84.6717
CVH,36.8933,-121.41
CVN,34.4251,-103.079
CVO,44.4971,-123.289
CVS,34.3828,-103.322
CVW,29.784,-93.3
CVX,45.3047,-85.2747
CWA,44.7776,-89.6668
CWC,33.8578,-98.4904
CWF,30.2106,-93.1432
CWI,41.8295,-90.3328
CWN,38.75,-104.85
CWV,32.1951,-81.8696
CXE,36.7883,-78.5016
CXO,30.3524,-95.4145
CXP,39.1923,-119.733
CXU,31.2132,-84.2352
CXY,40.2171,-76.8515
CYS,41.1556,-104.811
CZL,34.4554,-84.9392
CZT,28.5222,-99.8236
CZZ,32.6261,-116.468
D07,45.03,-102.02
D25,46.1202,-89.8822
D39,45.7066,-94.9334
D50,48.9285,-103.297
D55,48.7531,-98.3937
D57,46.8128,-101.86
D60,48.3803,-102.897
D95,43.0666,-83.2723
DAA,38.715,-77.181
DAB,29.1799,-81.0581
DAG,34.8536,-116.786
DAL,32.8471,-96.8518
DAN,36.5729,-79.3361
DAW,43.28,-70.92
DAY,39.9061,-84.2186
DBN,32.5644,-82.9853
DBQ,42.3984,-90.7091
DCA,38.8472,-77.0345
DCM,34.7893,-81.1958
DCU,34.6525,-86.9453
DCY,38.7004,-87.1297
DDC,37.7631,-99.9654
DDH,42.8935,-73.2486
DEC,39.8346,-88.8657
DED,29.067,-81.2837
DEH,43.2755,-91.7433
DEN,39.8328,-104.658
DEQ,34.047,-94.3994
DET,42.4092,-83.0099
DEW,47.9689,-117.421
DFI,41.3375,-84.4288
DFW,32.8968,-97.038
DGW,42.7972,-105.386
DHN,31.32,-85.45
DHT,36.0226,-102.547
DIJ,43.7419,-111.098
DIK,46.7973,-102.802
DKB,41.9338,-88.7057
DKK,42.4933,-79.272
DKR,31.307,-95.4038
DKX,35.9638,-83.8737
DLF,29.3595,-100.778
DLH,46.8421,-92.1936
DLL,43.522,-89.771
DLN,45.2554,-112.552
DLP,29.1214,-89.5472
DLS,45.6186,-121.167
DLZ,40.2797,-83.1148
DMA,32.166,-110.883
DMH,39.28,-76.61
DMN,32.2623,-107.721
DMO,38.7074,-93.1759
DMW,39.6083,-77.0077
DNL,33.4669,-82.0382
DNN,34.72,-84.87
DNS,41.9842,-95.38
DNV,40.1997,-87.5955
DOV,39.1295,-75.466
DPA,41.9078,-88.2486
DPG,40.1974,-112.935
DPL,35.0,-77.98
DQH,31.4767,-82.8606
DRA,36.6206,-116.028
DRI,30.83,-93.34
DRM,46.0093,-83.7439
DRO,37.1515,-107.754
DRT,29.3742,-100.927
DSM,41.5339,-93.6531
DSV,42.5709,-77.713
DTA,39.3806,-112.508
DTL,46.8252,-95.8856
DTN,32.5402,-93.745
DTO,33.2061,-97.1989
DTS,30.3934,-86.4674
DTW,42.23,-83.33
DUA,33.9423,-96.3945
DUB,43.5484,-109.69
DUC,34.47,-97.96
DUG,31.469,-109.604
DUH,41.7358,-83.6553
DUJ,41.18,-78.9
DUX,35.858,-102.013
DVK,37.5779,-84.7697
DVL,48.1146,-98.9083
DVN,41.6133,-90.5948
DVO,38.1436,-122.556
DVP,43.9868,-95.7826
DVT,33.6883,-112.083
DWH,30.068,-95.5562
DWU,38.5545,-82.738
DWX,41.0374,-107.493
DXR,41.37,-73.48
DXX,44.9864,-96.1779
DYA,32.4638,-87.9541
DYB,33.0634,-80.2793
DYL,40.3331,-75.1223
DYR,35.998,-89.4066
DYS,32.421,-99.855
DYT,46.7219,-92.0434
DZB,30.5271,-98.3588
DZJ,34.8544,-83.9973
E11,32.3311,-102.53
E16,37.0816,-121.597
E38,30.384,-103.684
E80,34.6452,-106.834
EAN,42.0555,-104.929
EAR,40.727,-99.0068
EAT,47.399,-120.207
EAU,44.8658,-91.4843
EBA,34.0954,-82.8175
EBG,26.4417,-98.1222
EBS,42.4392,-93.8691
ECG,36.2606,-76.1746
ECP,30.3582,-85.7956
ECS,43.8854,-104.318
ECU,29.9469,-100.174
EDC,30.3925,-97.5621
EDE,36.0277,-76.5671
EDJ,40.3723,-83.8192
EDN,31.2982,-85.9048
EDU,38.5315,-121.786
EDW,34.9054,-117.884
EED,34.7664,-114.623
EEN,42.9,-72.27
EEO,40.0488,-107.886
EET,33.18,-86.78
EFD,29.6073,-95.1587
EFK,44.8888,-72.2292
EFT,42.6149,-89.5904
EGE,39.6426,-106.918
EGI,30.6503,-86.5229
EGV,45.9323,-89.2683
EHA,37.0008,-101.88
EHC,28.429,-92.878
EHO,35.2556,-81.6011
EHR,37.8078,-87.6857
EHY,41.7253,-106.459
EIK,40.0102,-105.048
EIR,28.634,-91.489
EKA,40.8097,-124.16
EKM,41.72,-86.0
EKN,38.8853,-79.8528
EKO,40.8242,-115.786
EKQ,36.8553,-84.8561
EKS,45.2718,-111.649
EKX,37.686,-85.925
EKY,33.3126,-86.9263
ELA,29.6006,-96.3219
ELD,33.221,-92.8133
ELK,35.4308,-99.3943
ELM,42.1599,-76.8916
ELN,47.033,-120.531
ELO,47.8287,-91.8371
ELP,31.8111,-106.376
ELY,39.295,-114.845
ELZ,42.11,-77.99
EMK,27.8186,-94.3228
EMM,41.8241,-110.557
EMP,38.3306,-96.1897
EMT,34.086,-118.035
EMV,36.6869,-77.4827
END,36.3392,-97.9165
ENL,38.5151,-89.0911
ENV,40.7187,-114.031
ENW,42.595,-87.9381
EOE,34.3093,-81.6397
EOK,40.4615,-91.4274
EPH,47.3081,-119.515
EQA,37.7741,-96.8176
EQY,35.0169,-80.6206
ERI,42.08,-80.18
ERV,29.9767,-99.0855
ERY,46.3111,-85.4572
ESC,45.7227,-87.0937
ESF,31.3963,-92.2827
ESN,38.8042,-76.069
EST,43.4008,-94.7476
ETB,43.4222,-88.1279
ETC,35.9373,-77.5465
ETH,45.7805,-96.5435
EUF,31.9513,-85.1289
EUG,44.1246,-123.212
EUL,43.6419,-116.636
EVB,29.0557,-80.9489
EVM,47.4251,-92.4981
EVV,38.0441,-87.5205
EVW,41.2731,-111.031
EWB,41.6764,-70.9583
EWK,38.0582,-97.2745
EWN,35.0675,-77.0472
EWR,40.6827,-74.1693
EXX,35.7811,-80.3038
EYE,39.825,-86.2958
EYF,34.6,-78.58
EYW,24.5561,-81.7596
EZF,38.2662,-77.4494
EZM,32.2164,-83.1287
EZS,44.7873,-88.56
F00,33.6131,-96.1793
F05,34.2257,-99.2837
F17,31.8316,-94.1564
F44,32.1638,-95.8284
F46,32.9306,-96.4355
F70,33.5742,-117.129
FAF,37.1325,-76.6088
FAM,37.761,-90.4286
FAR,46.9253,-96.8111
FAT,36.78,-119.719
FAY,34.9912,-78.8803
FBG,35.1318,-78.9367
FBL,44.3247,-93.3108
FBR,41.3941,-110.406
FCH,36.7321,-119.82
FCI,37.4064,-77.5248
FCM,44.8261,-93.4607
FCS,38.6784,-104.757
FDK,39.4176,-77.3743
FDR,34.3521,-98.9839
FDW,34.3155,-81.1088
FDY,41.0136,-83.6686
FEP,42.2462,-89.582
FET,41.45,-96.52
FEW,41.1333,-104.867
FFA,36.02,-75.67
FFC,33.3553,-84.5669
FFL,41.0521,-91.9834
FFM,46.2844,-96.1567
FFO,39.8261,-84.0483
FFT,38.1847,-84.9033
FFX,43.4393,-85.9949
FFZ,33.4608,-111.728
FGN,49.3183,-94.9028
FGX,38.5418,-83.7434
FHB,30.6118,-81.4612
FHR,48.522,-123.024
FHU,31.5883,-110.344
FIG,41.0467,-78.4117
FIN,29.4657,-81.2087
FIT,42.5519,-71.7558
FKA,43.6767,-92.1797
FKL,41.3779,-79.8604
FKN,36.6981,-76.9038
FKR,40.2734,-86.5622
FKS,44.6252,-86.2008
